language,cluster_id,cluster_label,cue_role,relative_start_s,relative_end_s,slot_s,spoken_text
DE,A,auseinander und zusammen,start,0.000,20.000,20.000,"Auseinander und zusammen. Hände nach außen, dann zurück bis fast zusammen. Drei Sekunden raus, drei zurück. Wiederholen."
DE,A,auseinander und zusammen,continue,20.000,40.000,20.000,"Wiederholen Sie dieselbe Bewegung weiter. Nach außen bis zu einem gut sichtbaren Abstand ... zurück, bis die Hände sich fast berühren. Langsam und gleichmäßig."
DE,A,auseinander und zusammen,final_repetitions,40.000,55.000,15.000,"Letzte Wiederholungen dieses Musters. Machen Sie noch ein oder zwei Zyklen nach außen und zurück, im gleichen Tempo."
DE,A,auseinander und zusammen,stop_transition,55.000,60.000,5.000,"Mitte, sichtbar, Handflächen nach unten."
DE,B,Handflächen nach oben und unten,start,0.000,20.000,20.000,"Beginnen Sie mit der Handflächendrehung. Hände in der Mitte. Handflächen nach oben drehen, kurz halten, dann nach unten. Weiter im gleichmäßigen Tempo."
DE,B,Handflächen nach oben und unten,continue,20.000,40.000,20.000,Wiederholen Sie dieselbe Drehung weiter. Handflächen nach oben ... halten ... nach unten. Beide Hände bleiben in der Mitte.
DE,B,Handflächen nach oben und unten,final_repetitions,40.000,55.000,15.000,"Letzte Wiederholungen der Handflächendrehung. Machen Sie noch ein oder zwei Zyklen nach oben und nach unten, im gleichen Tempo."
DE,B,Handflächen nach oben und unten,stop_transition,55.000,60.000,5.000,"Mitte, sichtbar, Handflächen nach unten."
DE,C,eine Hand ausstrecken,start_left,0.000,30.000,30.000,Beginnen Sie jetzt mit der Bewegung nach links. Die rechte Hand bleibt in der Mitte. Führen Sie die linke Hand nach links in den sichtbaren Raum vor Ihnen und dann zurück zur Mitte. Starten Sie die erste Wiederholung jetzt. Nach links ... und zurück. Wiederholen Sie diese Bewegung nach links.
DE,C,eine Hand ausstrecken,switch_right,30.000,55.000,25.000,Wechseln Sie jetzt die Seite. Die linke Hand bleibt in der Mitte. Führen Sie die rechte Hand nach rechts in den sichtbaren Raum vor Ihnen und dann zurück zur Mitte. Starten Sie die erste Wiederholung nach rechts jetzt. Nach rechts ... und zurück. Wiederholen Sie weiter.
DE,C,eine Hand ausstrecken,stop_transition,55.000,60.000,5.000,"Hände zusammen, Mitte, Handflächen nach unten."
DE,CIRCLE,Abschluss mit Kreis (fest),start_circle,0.000,20.000,20.000,"Beginnen Sie jetzt mit beiden Händen zusammen in der Mitte. Zeichnen Sie einen mittelgroßen Kreis in die Luft, in eine Richtung. Starten Sie den ersten Kreis jetzt und zeichnen Sie langsam weiter."
DE,CIRCLE,Abschluss mit Kreis (fest),shrink_stop,20.000,40.000,20.000,"Führen Sie den Kreis noch einige Momente weiter. Dann wird jeder Kreis kleiner als der letzte. Bringen Sie beide Hände zurück zur Mitte, Handflächen nach unten, und stoppen Sie am Ende."
DE,D,öffnen und schließen,start,0.000,20.000,20.000,"Beginnen Sie jetzt mit Öffnen und Schließen. Öffnen Sie beide Hände, bis die Finger weit gespreizt sind, dann locker schließen. Etwa zwei Sekunden je Richtung. Starten Sie jetzt und wiederholen Sie weiter."
DE,D,öffnen und schließen,continue,20.000,40.000,20.000,Wiederholen Sie dieselbe Öffnen-und-Schließen-Bewegung weiter. Finger weit öffnen ... dann locker schließen. Langsam und gleichmäßig.
